"Datum","VPI"
2015-11-18,94.9
2015-11-19,94.9
2015-11-20,94.9
2015-11-21,94.9
2015-11-22,94.9
2015-11-23,94.9
2015-11-24,94.9
2015-11-25,94.9
2015-11-26,94.9
2015-11-27,94.9
2015-11-28,94.9
2015-11-29,94.9
2015-11-30,94.9
2015-12-01,95
2015-12-02,95
2015-12-03,95
2015-12-04,95
2015-12-05,95
2015-12-06,95
2015-12-07,95
2015-12-08,95
2015-12-09,95
2015-12-10,95
2015-12-11,95
2015-12-12,95
2015-12-13,95
2015-12-14,95
2015-12-15,95
2015-12-16,95
2015-12-17,95
2015-12-18,95
2015-12-19,95
2015-12-20,95
2015-12-21,95
2015-12-22,95
2015-12-23,95
2015-12-24,95
2015-12-25,95
2015-12-26,95
2015-12-27,95
2015-12-28,95
2015-12-29,95
2015-12-30,95
2015-12-31,95
2016-01-01,94.9
2016-01-02,94.9
2016-01-03,94.9
2016-01-04,94.9
2016-01-05,94.9
2016-01-06,94.9
2016-01-07,94.9
2016-01-08,94.9
2016-01-09,94.9
2016-01-10,94.9
2016-01-11,94.9
2016-01-12,94.9
2016-01-13,94.9
2016-01-14,94.9
2016-01-15,94.9
2016-01-16,94.9
2016-01-17,94.9
2016-01-18,94.9
2016-01-19,94.9
2016-01-20,94.9
2016-01-21,94.9
2016-01-22,94.9
2016-01-23,94.9
2016-01-24,94.9
2016-01-25,94.9
2016-01-26,94.9
2016-01-27,94.9
2016-01-28,94.9
2016-01-29,94.9
2016-01-30,94.9
2016-01-31,94.9
2016-02-01,95.2
2016-02-02,95.2
2016-02-03,95.2
2016-02-04,95.2
2016-02-05,95.2
2016-02-06,95.2
2016-02-07,95.2
2016-02-08,95.2
2016-02-09,95.2
2016-02-10,95.2
2016-02-11,95.2
2016-02-12,95.2
2016-02-13,95.2
2016-02-14,95.2
2016-02-15,95.2
2016-02-16,95.2
2016-02-17,95.2
2016-02-18,95.2
2016-02-19,95.2
2016-02-20,95.2
2016-02-21,95.2
2016-02-22,95.2
2016-02-23,95.2
2016-02-24,95.2
2016-02-25,95.2
2016-02-26,95.2
2016-02-27,95.2
2016-02-28,95.2
2016-02-29,95.2
2016-03-01,95.1
2016-03-02,95.1
2016-03-03,95.1
2016-03-04,95.1
2016-03-05,95.1
2016-03-06,95.1
2016-03-07,95.1
2016-03-08,95.1
2016-03-09,95.1
2016-03-10,95.1
2016-03-11,95.1
2016-03-12,95.1
2016-03-13,95.1
2016-03-14,95.1
2016-03-15,95.1
2016-03-16,95.1
2016-03-17,95.1
2016-03-18,95.1
2016-03-19,95.1
2016-03-20,95.1
2016-03-21,95.1
2016-03-22,95.1
2016-03-23,95.1
2016-03-24,95.1
2016-03-25,95.1
2016-03-26,95.1
2016-03-27,95.1
2016-03-28,95.1
2016-03-29,95.1
2016-03-30,95.1
2016-03-31,95.1
2016-04-01,95.3
2016-04-02,95.3
2016-04-03,95.3
2016-04-04,95.3
2016-04-05,95.3
2016-04-06,95.3
2016-04-07,95.3
2016-04-08,95.3
2016-04-09,95.3
2016-04-10,95.3
2016-04-11,95.3
2016-04-12,95.3
2016-04-13,95.3
2016-04-14,95.3
2016-04-15,95.3
2016-04-16,95.3
2016-04-17,95.3
2016-04-18,95.3
2016-04-19,95.3
2016-04-20,95.3
2016-04-21,95.3
2016-04-22,95.3
2016-04-23,95.3
2016-04-24,95.3
2016-04-25,95.3
2016-04-26,95.3
2016-04-27,95.3
2016-04-28,95.3
2016-04-29,95.3
2016-04-30,95.3
2016-05-01,95.4
2016-05-02,95.4
2016-05-03,95.4
2016-05-04,95.4
2016-05-05,95.4
2016-05-06,95.4
2016-05-07,95.4
2016-05-08,95.4
2016-05-09,95.4
2016-05-10,95.4
2016-05-11,95.4
2016-05-12,95.4
2016-05-13,95.4
2016-05-14,95.4
2016-05-15,95.4
2016-05-16,95.4
2016-05-17,95.4
2016-05-18,95.4
2016-05-19,95.4
2016-05-20,95.4
2016-05-21,95.4
2016-05-22,95.4
2016-05-23,95.4
2016-05-24,95.4
2016-05-25,95.4
2016-05-26,95.4
2016-05-27,95.4
2016-05-28,95.4
2016-05-29,95.4
2016-05-30,95.4
2016-05-31,95.4
2016-06-01,95.5
2016-06-02,95.5
2016-06-03,95.5
2016-06-04,95.5
2016-06-05,95.5
2016-06-06,95.5
2016-06-07,95.5
2016-06-08,95.5
2016-06-09,95.5
2016-06-10,95.5
2016-06-11,95.5
2016-06-12,95.5
2016-06-13,95.5
2016-06-14,95.5
2016-06-15,95.5
2016-06-16,95.5
2016-06-17,95.5
2016-06-18,95.5
2016-06-19,95.5
2016-06-20,95.5
2016-06-21,95.5
2016-06-22,95.5
2016-06-23,95.5
2016-06-24,95.5
2016-06-25,95.5
2016-06-26,95.5
2016-06-27,95.5
2016-06-28,95.5
2016-06-29,95.5
2016-06-30,95.5
2016-07-01,95.4
2016-07-02,95.4
2016-07-03,95.4
2016-07-04,95.4
2016-07-05,95.4
2016-07-06,95.4
2016-07-07,95.4
2016-07-08,95.4
2016-07-09,95.4
2016-07-10,95.4
2016-07-11,95.4
2016-07-12,95.4
2016-07-13,95.4
